x_o,y_o,x_i,y_i,x,y
-1.76674,1.47031,-1.20535,-2.43422,-1.56109,-0.491317,
2.7609,1.71537,3.17811,-1.93233,-0.95416,-0.411399,
7.27865,1.72703,7.48559,-1.81354,-0.343724,-0.337554,
12.035,1.77702,12.1317,-1.68397,0.270655,-0.274994,
16.5392,1.85752,16.7907,-1.63398,0.888783,-0.222846,
21.0336,1.9058,21.016,-1.57768,1.51048,-0.180178,
25.8245,1.8237,25.9493,-1.68443,2.13556,-0.146007,
29.0081,1.68818,29.0481,-1.72888,2.76389,-0.119301,
32.854,1.53236,32.612,-1.83696,3.39533,-0.0989857,
36.0541,1.40599,35.9588,-2.02518,4.02977,-0.083943,
39.6403,1.33292,39.9083,-3.04691,4.6671,-0.0730177,
41.8411,0.4617,42.1979,-5.73115,5.30724,-0.0650396,
43.7949,-0.82433,42.644,-7.45759,5.95013,-0.0587465,
45.3121,-2.63124,42.6222,-9.84561,6.59571,-0.0528357,
46.1554,-4.62502,42.5241,-11.4708,7.24391,-0.0460025,
46.4221,-7.10255,42.1597,-13.486,7.89328,-0.0370942,
46.5322,-9.60714,41.4562,-15.1819,8.54203,-0.0260579,
46.3761,-11.9525,40.5326,-16.8798,9.19016,-0.0134549,
45.8402,-14.4087,38.5181,-18.9989,9.83768,9.9338e-05,
45.0924,-16.5198,36.204,-20.4709,10.4846,0.014033,
43.6631,-19.0953,32.7587,-21.9738,11.131,0.0277786,
41.3715,-21.7455,28.4736,-23.4818,11.7769,0.0407663,
37.8901,-24.083,25.4437,-24.1715,12.4222,0.0523965,
34.6199,-25.5377,22.9643,-24.4952,13.0672,0.0626445,
31.2378,-26.4075,18.7935,-23.4676,13.7117,0.0718742,
27.4351,-27.5947,16.1738,-21.4525,14.3559,0.0804672,
24.4867,-28.2712,13.5639,-18.8669,14.9997,0.0888025,
21.9399,-28.5393,11.8896,-17.3643,15.6431,0.0972665,
17.7762,-27.4994,10.3036,-16.0994,16.2861,0.106255,
14.9727,-25.1546,6.79946,-13.8661,16.9286,0.116117,
13.464,-23.703,4.3283,-13.5116,17.5703,0.126783,
11.3518,-21.9376,1.12302,-13.7139,18.2111,0.137498,
9.28482,-20.3903,-2.75382,-14.1658,18.8511,0.147424,
7.48336,-18.9196,-4.81454,-15.6765,19.4902,0.15573,
4.77596,-17.4981,-7.15269,-19.0836,20.1286,0.161536,
1.28759,-17.3332,-8.18414,-23.2164,20.7661,0.16406,
-1.63389,-18.2759,-7.90778,-27.239,21.403,0.162576,
-3.17949,-21.7291,-7.00891,-31.0451,22.0393,0.157068,
-3.27371,-25.0205,-8.42116,-34.9212,22.6752,0.148065,
-3.07798,-27.4283,-10.3438,-39.3103,23.3107,0.136115,
-2.77588,-30.0829,-9.21578,-43.815,23.9456,0.121761,
-3.4181,-34.0824,-6.92036,-47.6307,24.5801,0.10554,
-5.17042,-37.1482,-4.60597,-50.5478,25.2141,0.0880051,
-6.55036,-40.3913,-2.35273,-51.8893,25.8476,0.0696927,
-5.86447,-42.8616,-0.165839,-52.8908,26.4833,0.0511606,
-4.37758,-44.9487,2.04115,-53.2723,27.1228,0.0327419,
-2.17299,-47.4768,4.15739,-53.365,27.7661,0.0144188,
0.147873,-48.764,8.75176,-53.0574,28.413,-0.0038801,
4.08864,-48.8794,12.9969,-52.1645,29.0636,-0.0222873,
8.0548,-47.916,16.4464,-52.5517,29.7127,-0.0411659,
11.9599,-47.6551,19.5895,-54.8799,30.3575,-0.0609881,
14.9592,-47.935,21.4046,-57.2886,30.9981,-0.0822395,
17.6076,-48.6755,25.2624,-63.3929,31.6342,-0.105423,
19.5705,-49.7755,26.2042,-65.9767,32.2657,-0.131057,
22.6065,-52.1837,26.1475,-68.3556,32.8928,-0.159698,
25.3403,-55.3911,24.7101,-69.9159,33.5298,-0.191712,
27.526,-58.7277,21.122,-70.2596,34.1835,-0.225662,
29.1638,-62.0334,16.893,-69.4649,34.8547,-0.259791,
30.1007,-65.722,12.5506,-68.4204,35.5446,-0.292766,
30.1847,-69.0224,8.61411,-67.5245,36.2536,-0.323913,
29.2832,-72.0738,5.12989,-66.6364,36.938,-0.353604,
26.9897,-73.9625,1.29183,-65.5188,37.5731,-0.390262,
23.765,-74.3959,-0.911457,-64.0005,38.1497,-0.43882,
19.9834,-74.2501,-3.19275,-61.7591,38.659,-0.501115,
15.7009,-73.03,-4.88976,-59.9218,39.0976,-0.576954,
11.5244,-71.9856,-7.34267,-57.3791,39.4938,-0.679753,
7.55422,-71.0144,-9.32453,-55.3649,39.9267,-0.835392,
3.99314,-70.1475,-11.9271,-52.5859,40.398,-1.04413,
-0.0668102,-69.1029,-13.9907,-50.4051,40.8969,-1.30766,
-3.44227,-67.231,-15.8556,-48.2919,41.3826,-1.60344,
-5.49041,-65.112,-17.4214,-46.3404,41.8183,-1.90667,
-7.24591,-62.5962,-18.9635,-44.472,42.2046,-2.21089,
-9.36123,-60.3147,-20.869,-41.1217,42.545,-2.51802,
-11.5452,-58.3123,-21.7831,-39.5535,42.8619,-2.85119,
-14.4152,-54.9343,-22.1184,-36.9809,43.1591,-3.21435,
-16.5187,-52.5612,-22.3782,-33.3755,43.4335,-3.60414,
-18.5795,-50.1394,-22.2892,-29.8055,43.68,-4.01338,
-21.8124,-46.6211,-21.6835,-25.6726,43.8893,-4.42728,
-24.7267,-43.4752,-20.8396,-21.7996,44.0579,-4.83948,
-25.7503,-40.3981,-19.7339,-18.0672,44.1859,-5.24995,
-26.0477,-36.9701,-18.7998,-14.3691,44.2972,-5.71461,
-25.9316,-32.6193,-17.4899,-10.8448,44.399,-6.25175,
-25.7263,-28.6441,-15.5612,-8.86956,44.4857,-6.85563,
-25.0014,-24.6763,-13.9416,-7.27877,44.5485,-7.50995,
-24.2922,-20.8633,-11.8316,-5.8212,44.5809,-8.15248,
-23.305,-17.2036,-9.60293,-4.78613,44.5916,-8.7714,
-22.1317,-13.6424,-6.3578,-3.62785,44.5882,-9.36608,
-20.7885,-9.28059,-3.79636,-2.90468,44.5744,-9.94026,
-18.4632,-6.41254,-1.20535,-2.43422,44.5498,-10.5096,
-15.6023,-3.68699,2.45551e-321,3.56221e-321,44.5121,-11.0753,
-13.5745,-2.16605,0,0,44.4576,-11.6363,
-11.5146,-0.892863,0,0,44.3835,-12.196,
-7.0434,0.440191,0,0,44.2865,-12.7595,
-4.10933,1.10957,0,0,44.1646,-13.3257,
-1.76674,1.47031,0,0,44.0156,-13.8926,
3.79936e-321,3.79936e-321,0,0,43.8398,-14.4505,
0,0,0,0,43.6413,-14.9911,
0,0,0,0,43.4258,-15.5146,
0,0,0,0,43.1963,-16.0236,
0,0,0,0,42.9503,-16.527,
0,0,0,0,42.6857,-17.0256,
0,0,0,0,42.4,-17.5173,
0,0,0,0,42.0895,-17.9987,
0,0,0,0,41.7561,-18.4645,
0,0,0,0,41.4039,-18.9093,
0,0,0,0,41.0346,-19.3311,
0,0,0,0,40.6518,-19.7302,
0,0,0,0,40.2564,-20.105,
0,0,0,0,39.8485,-20.4576,
0,0,0,0,39.4178,-20.796,
0,0,0,0,38.9639,-21.1237,
0,0,0,0,38.4873,-21.4406,
0,0,0,0,37.9893,-21.7473,
0,0,0,0,37.4718,-22.0447,
0,0,0,0,36.9367,-22.3333,
0,0,0,0,36.3957,-22.6089,
0,0,0,0,35.8596,-22.8666,
0,0,0,0,35.3294,-23.106,
0,0,0,0,34.8054,-23.3267,
0,0,0,0,34.2874,-23.5284,
0,0,0,0,33.7702,-23.7122,
0,0,0,0,33.2246,-23.8917,
0,0,0,0,32.6464,-24.0738,
0,0,0,0,32.0382,-24.2616,
0,0,0,0,31.4032,-24.4573,
0,0,0,0,30.7442,-24.6623,
0,0,0,0,30.0837,-24.8698,
0,0,0,0,29.4393,-25.0708,
0,0,0,0,28.8093,-25.2621,
0,0,0,0,28.1932,-25.4422,
0,0,0,0,27.5915,-25.61,
0,0,0,0,27.0047,-25.7647,
0,0,0,0,26.4258,-25.9066,
0,0,0,0,25.842,-26.0389,
0,0,0,0,25.2531,-26.1619,
0,0,0,0,24.6589,-26.2728,
0,0,0,0,24.0593,-26.3672,
0,0,0,0,23.4721,-26.4388,
0,0,0,0,22.9086,-26.4833,
0,0,0,0,22.3698,-26.5007,
0,0,0,0,21.8542,-26.4902,
0,0,0,0,21.3465,-26.4499,
0,0,0,0,20.844,-26.3799,
0,0,0,0,20.3529,-26.2806,
0,0,0,0,19.8785,-26.1531,
0,0,0,0,19.4257,-25.9985,
0,0,0,0,18.9985,-25.8179,
0,0,0,0,18.5938,-25.61,
0,0,0,0,18.1756,-25.362,
0,0,0,0,17.7359,-25.0708,
0,0,0,0,17.2767,-24.7372,
0,0,0,0,16.8033,-24.363,
0,0,0,0,16.3188,-23.9537,
0,0,0,0,15.8302,-23.5187,
0,0,0,0,15.3442,-23.0698,
0,0,0,0,14.8562,-22.6103,
0,0,0,0,14.3628,-22.1436,
0,0,0,0,13.8659,-21.6767,
0,0,0,0,13.3637,-21.2123,
0,0,0,0,12.8542,-20.7528,
0,0,0,0,12.3363,-20.3016,
0,0,0,0,11.8245,-19.8737,
0,0,0,0,11.3286,-19.4711,
0,0,0,0,10.8533,-19.0903,
0,0,0,0,10.4004,-18.7248,
0,0,0,0,9.9278,-18.3384,
0,0,0,0,9.41543,-17.9224,
0,0,0,0,8.85998,-17.4802,
0,0,0,0,8.26018,-17.0224,
0,0,0,0,7.62164,-16.5772,
0,0,0,0,6.93511,-16.1669,
0,0,0,0,6.19002,-15.8228,
0,0,0,0,5.38437,-15.5789,
0,0,0,0,4.55465,-15.446,
0,0,0,0,3.74567,-15.3988,
0,0,0,0,2.96139,-15.4091,
0,0,0,0,2.19903,-15.4505,
0,0,0,0,1.45301,-15.5026,
0,0,0,0,0.709129,-15.5538,
0,0,0,0,-0.0860929,-15.6194,
0,0,0,0,-0.937782,-15.7415,
0,0,0,0,-1.83147,-16.0049,
0,0,0,0,-2.70685,-16.5172,
0,0,0,0,-3.48464,-17.2342,
0,0,0,0,-4.11029,-18.0121,
0,0,0,0,-4.60615,-18.8222,
0,0,0,0,-4.98904,-19.6492,
0,0,0,0,-5.27483,-20.4767,
0,0,0,0,-5.48023,-21.2872,
0,0,0,0,-5.62179,-22.0714,
0,0,0,0,-5.71218,-22.8336,
0,0,0,0,-5.75987,-23.5717,
0,0,0,0,-5.77177,-24.2847,
0,0,0,0,-5.75282,-24.9729,
0,0,0,0,-5.70772,-25.6473,
0,0,0,0,-5.63326,-26.3297,
0,0,0,0,-5.52651,-27.0179,
0,0,0,0,-5.38602,-27.7086,
0,0,0,0,-5.23562,-28.3737,
0,0,0,0,-5.10252,-28.9909,
0,0,0,0,-4.9989,-29.5652,
0,0,0,0,-4.93087,-30.1003,
0,0,0,0,-4.89862,-30.6152,
0,0,0,0,-4.90071,-31.1337,
0,0,0,0,-4.94322,-31.649,
0,0,0,0,-5.02174,-32.1543,
0,0,0,0,-5.13342,-32.6438,
0,0,0,0,-5.27533,-33.1121,
0,0,0,0,-5.44615,-33.5615,
0,0,0,0,-5.65383,-34.0231,
0,0,0,0,-5.89939,-34.507,
0,0,0,0,-6.18278,-35.016,
0,0,0,0,-6.50007,-35.5524,
0,0,0,0,-6.84616,-36.1187,
0,0,0,0,-7.21939,-36.7309,
0,0,0,0,-7.6059,-37.4018,
0,0,0,0,-7.97724,-38.1432,
0,0,0,0,-8.2871,-38.9764,
0,0,0,0,-8.44787,-39.9173,
0,0,0,0,-8.38728,-40.9084,
0,0,0,0,-8.16984,-41.8178,
0,0,0,0,-7.86478,-42.6466,
0,0,0,0,-7.50503,-43.41,
0,0,0,0,-7.11283,-44.1135,
0,0,0,0,-6.71006,-44.7534,
0,0,0,0,-6.31186,-45.3379,
0,0,0,0,-5.93041,-45.875,
0,0,0,0,-5.56537,-46.3868,
0,0,0,0,-5.18245,-46.9276,
0,0,0,0,-4.7693,-47.4948,
0,0,0,0,-4.30997,-48.0768,
0,0,0,0,-3.78165,-48.6542,
0,0,0,0,-3.16102,-49.1924,
0,0,0,0,-2.46851,-49.6531,
0,0,0,0,-1.73596,-50.0547,
0,0,0,0,-0.978766,-50.4266,
0,0,0,0,-0.185985,-50.7548,
0,0,0,0,0.631563,-50.9869,
0,0,0,0,1.45465,-51.1149,
0,0,0,0,2.26993,-51.1735,
0,0,0,0,3.07343,-51.1863,
0,0,0,0,3.86396,-51.1638,
0,0,0,0,4.63974,-51.1129,
0,0,0,0,5.38496,-51.036,
0,0,0,0,6.08957,-50.9377,
0,0,0,0,6.7505,-50.8243,
0,0,0,0,7.36621,-50.7035,
0,0,0,0,7.93712,-50.5842,
0,0,0,0,8.4656,-50.4742,
0,0,0,0,8.97498,-50.3779,
0,0,0,0,9.50005,-50.2892,
0,0,0,0,10.0416,-50.2077,
0,0,0,0,10.5991,-50.1335,
0,0,0,0,11.1715,-50.0678,
0,0,0,0,11.7568,-50.0125,
0,0,0,0,12.3482,-49.9722,
0,0,0,0,12.934,-49.9522,
0,0,0,0,13.514,-49.9551,
0,0,0,0,14.0881,-49.9822,
0,0,0,0,14.6566,-50.0354,
0,0,0,0,15.2111,-50.1147,
0,0,0,0,15.7426,-50.2197,
0,0,0,0,16.2475,-50.3511,
0,0,0,0,16.723,-50.5085,
0,0,0,0,17.1847,-50.6964,
0,0,0,0,17.6638,-50.9248,
0,0,0,0,18.1567,-51.1968,
0,0,0,0,18.6593,-51.5079,
0,0,0,0,19.1492,-51.8445,
0,0,0,0,19.6203,-52.2003,
0,0,0,0,20.072,-52.5733,
0,0,0,0,20.505,-52.9609,
0,0,0,0,20.9196,-53.3611,
0,0,0,0,21.3161,-53.7732,
0,0,0,0,21.6999,-54.2016,
0,0,0,0,22.0743,-54.6459,
0,0,0,0,22.441,-55.1046,
0,0,0,0,22.8019,-55.5756,
0,0,0,0,23.1593,-56.0569,
0,0,0,0,23.515,-56.5465,
0,0,0,0,23.8683,-57.0426,
0,0,0,0,24.2166,-57.5418,
0,0,0,0,24.5594,-58.0447,
0,0,0,0,24.8961,-58.5518,
0,0,0,0,25.2265,-59.0635,
0,0,0,0,25.55,-59.5805,
0,0,0,0,25.8651,-60.1017,
0,0,0,0,26.167,-60.6217,
0,0,0,0,26.4535,-61.14,
0,0,0,0,26.7228,-61.657,
0,0,0,0,26.974,-62.1731,
0,0,0,0,27.2059,-62.6889,
0,0,0,0,27.4185,-63.2088,
0,0,0,0,27.6131,-63.7388,
0,0,0,0,27.7882,-64.2782,
0,0,0,0,27.9405,-64.8262,
0,0,0,0,28.0691,-65.3814,
0,0,0,0,28.1725,-65.9419,
0,0,0,0,28.2452,-66.5044,
0,0,0,0,28.2842,-67.0654,
0,0,0,0,28.2815,-67.6239,
0,0,0,0,28.2308,-68.1779,
0,0,0,0,28.1266,-68.7246,
0,0,0,0,27.9679,-69.2485,
0,0,0,0,27.7908,-69.7192,
0,0,0,0,27.6151,-70.1275,
0,0,0,0,27.4553,-70.4738,
0,0,0,0,27.3031,-70.763,
0,0,0,0,27.1245,-71.0198,
0,0,0,0,26.8916,-71.2641,
0,0,0,0,26.6226,-71.4817,
0,0,0,0,26.3354,-71.6587,
0,0,0,0,26.0467,-71.7821,
0,0,0,0,25.7152,-71.8881,
0,0,0,0,25.3062,-72.0114,
0,0,0,0,24.8114,-72.1439,
0,0,0,0,24.2374,-72.2633,
0,0,0,0,23.5995,-72.3469,
0,0,0,0,22.9589,-72.3853,
0,0,0,0,22.343,-72.3887,
0,0,0,0,21.7538,-72.3677,
0,0,0,0,21.1926,-72.3277,
0,0,0,0,20.6597,-72.2711,
0,0,0,0,20.151,-72.1966,
0,0,0,0,19.629,-72.0989,
0,0,0,0,19.0809,-71.9784,
0,0,0,0,18.5065,-71.8388,
0,0,0,0,17.9071,-71.6832,
0,0,0,0,17.2841,-71.5158,
0,0,0,0,16.6389,-71.341,
0,0,0,0,15.9747,-71.1638,
0,0,0,0,15.3135,-70.9924,
0,0,0,0,14.6601,-70.8276,
0,0,0,0,14.0141,-70.6689,
0,0,0,0,13.3754,-70.5156,
0,0,0,0,12.7439,-70.3669,
0,0,0,0,12.1197,-70.2221,
0,0,0,0,11.5006,-70.0795,
0,0,0,0,10.8806,-69.9365,
0,0,0,0,10.2594,-69.7925,
0,0,0,0,9.63738,-69.6466,
0,0,0,0,9.01479,-69.4981,
0,0,0,0,8.39192,-69.3462,
0,0,0,0,7.76889,-69.19,
0,0,0,0,7.14371,-69.0303,
0,0,0,0,6.51522,-68.8691,
0,0,0,0,5.8827,-68.7088,
0,0,0,0,5.24541,-68.5519,
0,0,0,0,4.60259,-68.4011,
0,0,0,0,3.95882,-68.2573,
0,0,0,0,3.33021,-68.1173,
0,0,0,0,2.72001,-67.9738,
0,0,0,0,2.13041,-67.8206,
0,0,0,0,1.56357,-67.6531,
0,0,0,0,1.02134,-67.4682,
0,0,0,0,0.504947,-67.2633,
0,0,0,0,0.00668676,-67.0334,
0,0,0,0,-0.476752,-66.7796,
0,0,0,0,-0.94319,-66.5036,
0,0,0,0,-1.39185,-66.209,
0,0,0,0,-1.82161,-65.8974,
0,0,0,0,-2.23202,-65.5702,
0,0,0,0,-2.6284,-65.2244,
0,0,0,0,-3.0134,-64.8581,
0,0,0,0,-3.38751,-64.473,
0,0,0,0,-3.75065,-64.0701,
0,0,0,0,-4.10776,-63.6464,
0,0,0,0,-4.48099,-63.1845,
0,0,0,0,-4.8763,-62.6872,
0,0,0,0,-5.29712,-62.1611,
0,0,0,0,-5.7477,-61.6131,
0,0,0,0,-6.22245,-61.0613,
0,0,0,0,-6.7037,-60.5284,
0,0,0,0,-7.19038,-60.0131,
0,0,0,0,-7.68104,-59.5132,
0,0,0,0,-8.17386,-59.0274,
0,0,0,0,-8.66069,-58.5601,
0,0,0,0,-9.13162,-58.114,
0,0,0,0,-9.58196,-57.6858,
0,0,0,0,-10.0075,-57.2724,
0,0,0,0,-10.4074,-56.8677,
0,0,0,0,-10.8037,-56.4464,
0,0,0,0,-11.2041,-56.0039,
0,0,0,0,-11.6109,-55.5425,
0,0,0,0,-12.0259,-55.0649,
0,0,0,0,-12.4514,-54.5742,
0,0,0,0,-12.8894,-54.0736,
0,0,0,0,-13.3401,-53.5689,
0,0,0,0,-13.7898,-53.0756,
0,0,0,0,-14.2345,-52.5935,
0,0,0,0,-14.672,-52.1202,
0,0,0,0,-15.1004,-51.6535,
0,0,0,0,-15.5196,-51.1892,
0,0,0,0,-15.9373,-50.7175,
0,0,0,0,-16.354,-50.2377,
0,0,0,0,-16.7695,-49.75,
0,0,0,0,-17.1833,-49.2545,
0,0,0,0,-17.5962,-48.7522,
0,0,0,0,-18.0117,-48.2466,
0,0,0,0,-18.4345,-47.7408,
0,0,0,0,-18.8693,-47.2384,
0,0,0,0,-19.3155,-46.7382,
0,0,0,0,-19.7663,-46.2329,
0,0,0,0,-20.2136,-45.7126,
0,0,0,0,-20.6515,-45.1689,
0,0,0,0,-21.0687,-44.6291,
0,0,0,0,-21.4609,-44.1174,
0,0,0,0,-21.8254,-43.6444,
0,0,0,0,-22.1563,-43.2144,
0,0,0,0,-22.4468,-42.8258,
0,0,0,0,-22.6909,-42.4715,
0,0,0,0,-22.8921,-42.1291,
0,0,0,0,-23.0849,-41.7417,
0,0,0,0,-23.2788,-41.3051,
0,0,0,0,-23.4728,-40.8229,
0,0,0,0,-23.659,-40.3002,
0,0,0,0,-23.8155,-39.7454,
0,0,0,0,-23.9265,-39.1769,
0,0,0,0,-23.9994,-38.5998,
0,0,0,0,-24.0441,-38.0157,
0,0,0,0,-24.0699,-37.4254,
0,0,0,0,-24.0879,-36.8288,
0,0,0,0,-24.1049,-36.2232,
0,0,0,0,-24.1218,-35.6074,
0,0,0,0,-24.138,-34.9814,
0,0,0,0,-24.1522,-34.3458,
0,0,0,0,-24.1625,-33.7013,
0,0,0,0,-24.1664,-33.0486,
0,0,0,0,-24.163,-32.3902,
0,0,0,0,-24.1524,-31.7415,
0,0,0,0,-24.1335,-31.1062,
0,0,0,0,-24.1052,-30.4848,
0,0,0,0,-24.0662,-29.8778,
0,0,0,0,-24.0154,-29.2857,
0,0,0,0,-23.9514,-28.7076,
0,0,0,0,-23.8719,-28.1245,
0,0,0,0,-23.778,-27.5283,
0,0,0,0,-23.6723,-26.9188,
0,0,0,0,-23.5574,-26.2961,
0,0,0,0,-23.4363,-25.6603,
0,0,0,0,-23.3121,-25.0115,
0,0,0,0,-23.1886,-24.3604,
0,0,0,0,-23.0661,-23.7189,
0,0,0,0,-22.9424,-23.0871,
0,0,0,0,-22.8155,-22.4655,
0,0,0,0,-22.6834,-21.8548,
0,0,0,0,-22.5444,-21.2553,
0,0,0,0,-22.3964,-20.6629,
0,0,0,0,-22.2392,-20.0726,
0,0,0,0,-22.0741,-19.4844,
0,0,0,0,-21.9026,-18.8983,
0,0,0,0,-21.7261,-18.3139,
0,0,0,0,-21.5461,-17.7312,
0,0,0,0,-21.3618,-17.14,
0,0,0,0,-21.1744,-16.5319,
0,0,0,0,-20.9864,-15.9061,
0,0,0,0,-20.8003,-15.262,
0,0,0,0,-20.6184,-14.5992,
0,0,0,0,-20.4424,-13.9183,
0,0,0,0,-20.2773,-13.2513,
0,0,0,0,-20.1151,-12.6144,
0,0,0,0,-19.9469,-12.013,
0,0,0,0,-19.7675,-11.4533,
0,0,0,0,-19.5751,-10.9412,
0,0,0,0,-19.3698,-10.4806,
0,0,0,0,-19.1507,-10.0709,
0,0,0,0,-18.8922,-9.67263,
0,0,0,0,-18.5803,-9.26499,
0,0,0,0,-18.2185,-8.84834,
0,0,0,0,-17.8121,-8.42386,
0,0,0,0,-17.3711,-7.98818,
0,0,0,0,-16.9106,-7.53718,
0,0,0,0,-16.4607,-7.08531,
0,0,0,0,-16.0205,-6.64188,
0,0,0,0,-15.5828,-6.21354,
0,0,0,0,-15.1415,-5.80605,
0,0,0,0,-14.6932,-5.42264,
0,0,0,0,-14.2376,-5.06203,
0,0,0,0,-13.7628,-4.71438,
0,0,0,0,-13.2656,-4.37588,
0,0,0,0,-12.747,-4.04567,
0,0,0,0,-12.211,-3.72382,
0,0,0,0,-11.6908,-3.42533,
0,0,0,0,-11.1985,-3.15751,
0,0,0,0,-10.7363,-2.9233,
0,0,0,0,-10.2924,-2.72175,
0,0,0,0,-9.82107,-2.53405,
0,0,0,0,-9.31669,-2.35462,
0,0,0,0,-8.77979,-2.18085,
0,0,0,0,-8.21239,-2.01015,
0,0,0,0,-7.61729,-1.84051,
0,0,0,0,-6.99772,-1.66981,
0,0,0,0,-6.35892,-1.49646,
0,0,0,0,-5.72656,-1.32778,
0,0,0,0,-5.10653,-1.16806,
0,0,0,0,-4.49779,-1.01906,
0,0,0,0,-3.89941,-0.882592,
0,0,0,0,-3.31043,-0.760326,
0,0,0,0,-2.72971,-0.653974,
0,0,0,0,-2.15587,-0.565015,
0,0,0,0,-1.58713,-0.494565,
